REGIAO;UF;VALOR
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUDESTE;SP;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;PR;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;RS;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
SUL;SC;1346
;;
;;
;;
;;
