http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Região;Unidade da Federação (UF);Latitude;Longitude
CENTRO-OESTE;MS;-21,0945664;-52,9792043
CENTRO-OESTE;MS;-22,2215134;-53,3321825
CENTRO-OESTE;MS;-21,5385493;-54,1764088
CENTRO-OESTE;MS;-23,0851100;-54,1930444
CENTRO-OESTE;MS;-21,2188462;-55,9137845
CENTRO-OESTE;MS;-21,2219607;-56,3417114
CENTRO-OESTE;MS;-19,2269605;-56,3711920
CENTRO-OESTE;MS;-19,3958717;-53,9203872
CENTRO-OESTE;MS;-19,3031769;-52,7373553
CENTRO-OESTE;MT;-12,6728393;-55,7943447
CENTRO-OESTE;MT;-10,1852017;-54,9458594
CENTRO-OESTE;MT;-13,8465854;-59,5563607
CENTRO-OESTE;MT;-10,0758203;-55,5863491
CENTRO-OESTE;MT;-09,9403054;-57,1338802
CENTRO-OESTE;MT;-09,9113691;-56,0510788
CENTRO-OESTE;MT;-11,5355114;-57,4182386
CENTRO-OESTE;MT;-11,2537184;-57,5083308
CENTRO-OESTE;MT;-11,5322438;-56,7579635
CENTRO-OESTE;MT;-11,0604319;-55,2727927
CENTRO-OESTE;MT;-13,6589473;-57,8914344
CENTRO-OESTE;MT;-11,4179684;-58,7598791
CENTRO-OESTE;MT;-11,5810037;-58,3305606
CENTRO-OESTE;MT;-11,6283397;-59,0777419
CENTRO-OESTE;MT;-13,6271376;-59,7459815
CENTRO-OESTE;MT;-14,0771718;-59,4362710
CENTRO-OESTE;MT;-12,8670893;-60,0636672
CENTRO-OESTE;MT;-13,7180915;-60,4856904
CENTRO-OESTE;MT;-11,0003828;-51,6253070
CENTRO-OESTE;MT;-10,1483208;-51,0901702
CENTRO-OESTE;MT;-10,4216295;-54,2472933
CENTRO-OESTE;MT;-15,5552630;-56,0698666
CENTRO-OESTE;MT;-15,5508491;-56,0558676
CENTRO-OESTE;MT;-15,5542953;-56,0688301
CENTRO-OESTE;MT;-15,5550094;-56,0706384
CENTRO-OESTE;MT;-15,5559585;-56,0702852
CENTRO-OESTE;MT;-17,0971805;-54,7608170
CENTRO-OESTE;MT;-15,7553217;-53,6179385
CENTRO-OESTE;MT;-15,4825401;-52,2031307
CENTRO-OESTE;MT;-13,1714680;-51,9201147
CENTRO-OESTE;MT;-11,7626086;-51,9614579
CENTRO-OESTE;MT;-10,5446818;-53,5831038
CENTRO-OESTE;MT;-16,7645773;-52,8376416
CENTRO-OESTE;MT;-10,5694516;-55,2060641
CENTRO-OESTE;MT;-09,9395448;-56,7301908
CENTRO-OESTE;MT;-14,3976704;-56,1102937
